"gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"AC009506.1","",0.051975242,0.782458984,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000224152","No"
"SMYD4","SET and MYND domain containing 4 [Source:HGNC Symbol;Acc:21067]",-0.033290177,0.768721905,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000186532","No"
"SEMA4B","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B [Source:HGNC Symbol;Acc:10730]",-0.111491884,0.438470416,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000185033","No"
"YTHDC1","YTH domain containing 1 [Source:HGNC Symbol;Acc:30626]",0.038967867,0.660744245,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000083896","No"
"ALKBH4","alkB, alkylation repair homolog 4 (E. coli) [Source:HGNC Symbol;Acc:21900]",-0.185171881,0.153077388,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000160993","No"
"TRAF7","TNF receptor-associated factor 7, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:20456]",-0.012080249,0.881507111,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000131653","No"
"NETO2","neuropilin (NRP) and tolloid (TLL)-like 2 [Source:HGNC Symbol;Acc:14644]",0.009653695,0.954312178,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000171208","No"
"FCF1P2","FCF1 pseudogene 2 [Source:HGNC Symbol;Acc:44614]",-0.079277374,0.620107207,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000228638","No"
"EIF5","eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:3299]",-0.082644899,0.287438128,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000100664","No"
"SEPSECS","Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase [Source:HGNC Symbol;Acc:30605]",0.027823544,0.798942654,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000109618","No"
"ALDH18A1","aldehyde dehydrogenase 18 family, member A1 [Source:HGNC Symbol;Acc:9722]",-0.021970494,0.702947556,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000059573","No"
"ARL4A","ADP-ribosylation factor-like 4A [Source:HGNC Symbol;Acc:695]",-0.192070745,0.495034525,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000122644","No"
"FRG1B","FSHD region gene 1 family, member B [Source:HGNC Symbol;Acc:15792]",0.205084181,0.755464861,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000149531","No"
"TMEM135","transmembrane protein 135 [Source:HGNC Symbol;Acc:26167]",-0.049884111,0.668826959,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000166575","No"
"RP5-935K16.1","",-0.110872595,0.247064085,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000270081","No"
"MBTPS1","membrane-bound transcription factor peptidase, site 1 [Source:HGNC Symbol;Acc:15456]",0.048907557,0.380333862,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000140943","No"
"TTYH2","tweety family member 2 [Source:HGNC Symbol;Acc:13877]",-0.009378886,0.9400603,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000141540","No"
"LINS","lines homolog (Drosophila) [Source:HGNC Symbol;Acc:30922]",-0.133021347,0.071741925,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000140471","No"
"FBXL14","F-box and leucine-rich repeat protein 14 [Source:HGNC Symbol;Acc:28624]",-0.026563508,0.855245558,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000171823","No"
"CRYBG3","Beta/gamma crystallin domain-containing protein 3; cDNA FLJ60082, weakly similar to Uro-adherence factor A  [Source:UniProtKB/TrEMBL;Acc:B4DLE8]",-0.029360228,0.877140438,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000233280","No"
"CDCA7L","cell division cycle associated 7-like [Source:HGNC Symbol;Acc:30777]",0.257665411,0.342864962,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000164649","No"
"FLNB","filamin B, beta [Source:HGNC Symbol;Acc:3755]",0.037162966,0.831170279,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000136068","No"
"YY1AP1","YY1 associated protein 1 [Source:HGNC Symbol;Acc:30935]",0.011412744,0.833923542,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000163374","No"
"KMT2D","lysine (K)-specific methyltransferase 2D [Source:HGNC Symbol;Acc:7133]",0.09093289,0.763072935,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000167548","No"
"CDKN3","cyclin-dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:1791]",0.064996692,0.708118941,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000100526","No"
"GRN","granulin [Source:HGNC Symbol;Acc:4601]",-0.195771783,0.299724294,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000030582","No"
"GIGYF2","GRB10 interacting GYF protein 2 [Source:HGNC Symbol;Acc:11960]",-0.005944911,0.943123345,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000204120","No"
"CRELD2","cysteine-rich with EGF-like domains 2 [Source:HGNC Symbol;Acc:28150]",0.004879447,0.95289716,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000184164","No"
"RHOH","ras homolog family member H [Source:HGNC Symbol;Acc:686]",0.395005306,0.32460368,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000168421","No"
"WDR36","WD repeat domain 36 [Source:HGNC Symbol;Acc:30696]",0.067886932,0.363610347,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000134987","No"
"PWWP2A","PWWP domain containing 2A [Source:HGNC Symbol;Acc:29406]",-0.087123778,0.321255257,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000170234","No"
"MCC","mutated in colorectal cancers [Source:HGNC Symbol;Acc:6935]",0.166445223,0.264037228,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000171444","No"
"ZNF200","zinc finger protein 200 [Source:HGNC Symbol;Acc:12993]",0.052248272,0.590813498,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000010539","No"
"SMYD2","SET and MYND domain containing 2 [Source:HGNC Symbol;Acc:20982]",0.117621407,0.351139815,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000143499","No"
"CAB39","calcium binding protein 39 [Source:HGNC Symbol;Acc:20292]",-0.000139973,0.998467403,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000135932","No"
"MED19","mediator complex subunit 19 [Source:HGNC Symbol;Acc:29600]",-0.04067903,0.718295986,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000156603","No"
"CTDSP1","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 [Source:HGNC Symbol;Acc:21614]",-0.177435319,0.147703522,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000144579","No"
"TTC23L","tetratricopeptide repeat domain 23-like [Source:HGNC Symbol;Acc:26355]",-0.029898115,0.857929393,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000205838","No"
"AGK","acylglycerol kinase [Source:HGNC Symbol;Acc:21869]",0.022706,0.813136891,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000006530","No"
"ABHD10","abhydrolase domain containing 10 [Source:HGNC Symbol;Acc:25656]",-0.064055827,0.414048117,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000144827","No"
"ARID3A","AT rich interactive domain 3A (BRIGHT-like) [Source:HGNC Symbol;Acc:3031]",0.004623939,0.973793075,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000116017","No"
"EDF1","endothelial differentiation-related factor 1 [Source:HGNC Symbol;Acc:3164]",-0.167832849,0.02839892,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000107223","No"
"CAPZB","capping protein (actin filament) muscle Z-line, beta [Source:HGNC Symbol;Acc:1491]",0.034894468,0.662146756,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000077549","No"
"MFAP4","microfibrillar-associated protein 4 [Source:HGNC Symbol;Acc:7035]",0.458154081,0.031372862,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000166482","No"
"PDAP1","PDGFA associated protein 1 [Source:HGNC Symbol;Acc:14634]",-0.012606752,0.834710132,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000106244","No"
"RP3-418C23.2","",-0.073704859,0.869873212,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000226684","No"
"SLC35F5","solute carrier family 35, member F5 [Source:HGNC Symbol;Acc:23617]",-0.020071485,0.835798704,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000115084","No"
"CTD-2228K2.7","",-0.287728877,0.156635548,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000225138","No"
"ACY1","aminoacylase 1 [Source:HGNC Symbol;Acc:177]",0.016012338,0.90963322,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000243989","No"
"ATAD2B","ATPase family, AAA domain containing 2B [Source:HGNC Symbol;Acc:29230]",0.020533196,0.795090614,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000119778","No"
"UBE4B","ubiquitination factor E4B [Source:HGNC Symbol;Acc:12500]",-0.056512532,0.399885766,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000130939","No"
"TMEM165","transmembrane protein 165 [Source:HGNC Symbol;Acc:30760]",-0.14282514,0.248723694,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000134851","No"
"AFF4","AF4/FMR2 family, member 4 [Source:HGNC Symbol;Acc:17869]",0.02250669,0.822581759,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000072364","No"
"PANK2","pantothenate kinase 2 [Source:HGNC Symbol;Acc:15894]",0.053806611,0.541005617,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000125779","No"
"SLC13A4","solute carrier family 13 (sodium/sulfate symporter), member 4 [Source:HGNC Symbol;Acc:15827]",-0.567802173,0.233196266,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000164707","No"
"ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6 [Source:HGNC Symbol;Acc:3438]",0.001505269,0.988776184,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000225830","No"
"RPL7P1","ribosomal protein L7 pseudogene 1 [Source:HGNC Symbol;Acc:10367]",-0.147336689,0.49069431,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000214485","No"
"SAAL1","serum amyloid A-like 1 [Source:HGNC Symbol;Acc:25158]",-0.129058886,0.229192486,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000166788","No"
"RNMTL1","RNA methyltransferase like 1 [Source:HGNC Symbol;Acc:18485]",-0.005142773,0.953591039,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000171861","No"
"SERGEF","secretion regulating guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:17499]",0.084942817,0.41050406,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000129158","No"
"PNRC2","proline-rich nuclear receptor coactivator 2 [Source:HGNC Symbol;Acc:23158]",-0.101424337,0.195265652,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000189266","No"
"RGS14","regulator of G-protein signaling 14 [Source:HGNC Symbol;Acc:9996]",-0.109150051,0.621189857,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000169220","No"
"CTH","cystathionase (cystathionine gamma-lyase) [Source:HGNC Symbol;Acc:2501]",-0.010366995,0.957669487,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000116761","No"
"RP11-408P14.1","",-0.130762444,0.446155791,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000243199","No"
"TMEM55A","transmembrane protein 55A [Source:HGNC Symbol;Acc:25452]",0.02304503,0.76446281,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000155099","No"
"ARPC4-TTLL3","ARPC4-TTLL3 readthrough [Source:HGNC Symbol;Acc:38830]",0.177634053,0.385490063,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000250151","No"
"STK16","serine/threonine kinase 16 [Source:HGNC Symbol;Acc:11394]",-0.044057699,0.636951254,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000115661","No"
"GTF3A","general transcription factor IIIA [Source:HGNC Symbol;Acc:4662]",-0.089708555,0.566859319,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000122034","No"
"KLF8","Kruppel-like factor 8 [Source:HGNC Symbol;Acc:6351]",-0.056608066,0.735526241,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000102349","No"
"USPL1","ubiquitin specific peptidase like 1 [Source:HGNC Symbol;Acc:20294]",-0.019901724,0.818031248,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000132952","No"
"ZEB2","zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:14881]",-0.078067877,0.592218103,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000169554","No"
"TRIM21","tripartite motif containing 21 [Source:HGNC Symbol;Acc:11312]",0.045156792,0.858899682,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000132109","No"
"TUBGCP5","tubulin, gamma complex associated protein 5 [Source:HGNC Symbol;Acc:18600]",0.180592942,0.250339829,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000153575","No"
"RP11-686O6.2","",0.156083164,0.447385243,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000273456","No"
"LINC00662","long intergenic non-protein coding RNA 662 [Source:HGNC Symbol;Acc:27122]",-0.070699287,0.749284226,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000261824","No"
"ITGA3","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]",0.07153731,0.653165389,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000005884","No"
"TRPM4","transient receptor potential cation channel, subfamily M, member 4 [Source:HGNC Symbol;Acc:17993]",0.011587365,0.971235961,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000130529","No"
"GNB5","guanine nucleotide binding protein (G protein), beta 5 [Source:HGNC Symbol;Acc:4401]",0.091656399,0.264327347,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000069966","No"
"HDAC3","histone deacetylase 3 [Source:HGNC Symbol;Acc:4854]",0.006450985,0.919615392,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000171720","No"
"SH3GL1","SH3-domain GRB2-like 1 [Source:HGNC Symbol;Acc:10830]",0.001073704,0.9927581,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000141985","No"
"DEPTOR","DEP domain containing MTOR-interacting protein [Source:HGNC Symbol;Acc:22953]",-0.493889148,0.004730722,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000155792","No"
"AVPI1","arginine vasopressin-induced 1 [Source:HGNC Symbol;Acc:30898]",0.055797991,0.704754258,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000119986","No"
"ZNF446","zinc finger protein 446 [Source:HGNC Symbol;Acc:21036]",-0.112127325,0.162780649,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000083838","No"
"PSME1","proteasome (prosome, macropain) activator subunit 1 (PA28 alpha) [Source:HGNC Symbol;Acc:9568]",0.026054937,0.768731919,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000092010","No"
"COMMD4","COMM domain containing 4 [Source:HGNC Symbol;Acc:26027]",-0.217084796,0.126880612,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000140365","No"
"ZSWIM4","zinc finger, SWIM-type containing 4 [Source:HGNC Symbol;Acc:25704]",-0.08436509,0.563221191,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000132003","No"
"RAB2A","RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:9763]",0.042579836,0.511459622,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000104388","No"
"MRPL54","mitochondrial ribosomal protein L54 [Source:HGNC Symbol;Acc:16685]",-0.060059675,0.628948332,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000183617","No"
"HID1","HID1 domain containing [Source:HGNC Symbol;Acc:15736]",0.007257992,0.94551996,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000167861","No"
"DKK3","dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:2893]",0.045933805,0.766848232,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000050165","No"
"CCDC33","coiled-coil domain containing 33 [Source:HGNC Symbol;Acc:26552]",0.216282614,0.727317972,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000140481","No"
"WASF3","WAS protein family, member 3 [Source:HGNC Symbol;Acc:12734]",-0.050105395,0.570125912,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000132970","No"
"ZDHHC21","zinc finger, DHHC-type containing 21 [Source:HGNC Symbol;Acc:20750]",0.092881739,0.292564146,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000175893","No"
"RIOK1","RIO kinase 1 [Source:HGNC Symbol;Acc:18656]",-0.012390321,0.887165916,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000124784","No"
"ZNF674","zinc finger protein 674 [Source:HGNC Symbol;Acc:17625]",-0.046043249,0.76910102,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000251192","No"
"B4GALT3","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3 [Source:HGNC Symbol;Acc:926]",-0.109321667,0.105161418,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000158850","No"
"RALGPS1","Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]",0.042746275,0.612734948,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000136828","No"
"PLCB1","phospholipase C, beta 1 (phosphoinositide-specific) [Source:HGNC Symbol;Acc:15917]",-0.091028684,0.651951687,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000182621","No"
"R3HDM2","R3H domain containing 2 [Source:HGNC Symbol;Acc:29167]",0.148180729,0.143746077,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000179912","No"
"CXorf40B","chromosome X open reading frame 40B [Source:HGNC Symbol;Acc:17402]",-0.029717078,0.694248162,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000197021","No"
"BLOC1S1","biogenesis of lysosomal organelles complex-1, subunit 1 [Source:HGNC Symbol;Acc:4200]",-0.149541825,0.230113321,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000135441","No"
"C1orf145","chromosome 1 open reading frame 145 [Source:HGNC Symbol;Acc:32047]",0.069421195,0.746821473,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000162913","No"
"SIN3A","SIN3 transcription regulator family member A [Source:HGNC Symbol;Acc:19353]",0.087976823,0.26197621,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000169375","No"
"SFMBT2","Scm-like with four mbt domains 2 [Source:HGNC Symbol;Acc:20256]",-0.107366447,0.405469162,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000198879","No"
"SPTBN2","spectrin, beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:11276]",-0.19705691,0.317989105,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000173898","No"
"NGRN","neugrin, neurite outgrowth associated [Source:HGNC Symbol;Acc:18077]",-0.124665611,0.275042921,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000182768","No"
"ZNF236","zinc finger protein 236 [Source:HGNC Symbol;Acc:13028]",0.097340851,0.29439228,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000130856","No"
"LGI2","leucine-rich repeat LGI family, member 2 [Source:HGNC Symbol;Acc:18710]",-0.3647587,0.004990014,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000153012","No"
"UBE2M","ubiquitin-conjugating enzyme E2M [Source:HGNC Symbol;Acc:12491]",-0.031611994,0.687685879,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000130725","No"
"BRI3BP","BRI3 binding protein [Source:HGNC Symbol;Acc:14251]",0.080221431,0.527084717,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000184992","No"
"ZNF680","zinc finger protein 680 [Source:HGNC Symbol;Acc:26897]",1.519472679,0.003362463,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000173041","No"
"JMJD1C","jumonji domain containing 1C [Source:HGNC Symbol;Acc:12313]",-0.016009287,0.841352297,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000171988","No"
"RP11-890B15.3","",0.452916546,0.030861059,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000255455","No"
"INTS7","integrator complex subunit 7 [Source:HGNC Symbol;Acc:24484]",-0.171457796,0.281912939,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000143493","No"
"NPAS1","neuronal PAS domain protein 1 [Source:HGNC Symbol;Acc:7894]",0.087112531,0.783566998,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000130751","No"
"TOPBP1","topoisomerase (DNA) II binding protein 1 [Source:HGNC Symbol;Acc:17008]",-0.048735614,0.594379563,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000163781","No"
"TRIM62","tripartite motif containing 62 [Source:HGNC Symbol;Acc:25574]",-0.08890714,0.545896058,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000116525","No"
"LRRC37B","leucine rich repeat containing 37B [Source:HGNC Symbol;Acc:29070]",-0.100763117,0.339027905,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000185158","No"
"RMDN2","regulator of microtubule dynamics 2 [Source:HGNC Symbol;Acc:26567]",-0.140023148,0.493376583,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000115841","No"
"SLC26A10","solute carrier family 26, member 10 [Source:HGNC Symbol;Acc:14470]",-0.006881657,0.974779062,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000135502","No"
"ACBD7","acyl-CoA binding domain containing 7 [Source:HGNC Symbol;Acc:17715]",-0.079095797,0.752258451,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000176244","No"
"FAM200B","family with sequence similarity 200, member B [Source:HGNC Symbol;Acc:27740]",-0.159429728,0.050228546,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000237765","No"
"NAGK","N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:17174]",-0.182432153,0.143165405,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000124357","No"
"POLD2","polymerase (DNA directed), delta 2, accessory subunit [Source:HGNC Symbol;Acc:9176]",-0.174849175,0.070288111,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000106628","No"
"TRAPPC2","trafficking protein particle complex 2 [Source:HGNC Symbol;Acc:23068]",-0.033798874,0.665245688,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000196459","No"
"ZNF45","zinc finger protein 45 [Source:HGNC Symbol;Acc:13111]",0.016610878,0.865396225,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000124459","No"
"ARHGAP42","Rho GTPase activating protein 42 [Source:HGNC Symbol;Acc:26545]",0.036582782,0.810043077,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000165895","No"
"RNASEH2B","ribonuclease H2, subunit B [Source:HGNC Symbol;Acc:25671]",0.119086695,0.597883837,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000136104","No"
"GPBP1L1","GC-rich promoter binding protein 1-like 1 [Source:HGNC Symbol;Acc:28843]",0.015390093,0.852839386,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000159592","No"
"EPN2","epsin 2 [Source:HGNC Symbol;Acc:18639]",-0.032995361,0.544126122,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000072134","No"
"CHIC1","cysteine-rich hydrophobic domain 1 [Source:HGNC Symbol;Acc:1934]",0.003859337,0.968499334,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000204116","No"
"ACYP1","acylphosphatase 1, erythrocyte (common) type [Source:HGNC Symbol;Acc:179]",0.174696658,0.343314976,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000119640","No"
"ZNF248","zinc finger protein 248 [Source:HGNC Symbol;Acc:13041]",-1.532344531,0.12772091,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000198105","No"
"LIN7A","lin-7 homolog A (C. elegans) [Source:HGNC Symbol;Acc:17787]",0.095572889,0.452154697,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000111052","No"
"CGGBP1","CGG triplet repeat binding protein 1 [Source:HGNC Symbol;Acc:1888]",-0.062357611,0.444810077,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000163320","No"
"ZFYVE9","zinc finger, FYVE domain containing 9 [Source:HGNC Symbol;Acc:6775]",-0.074242573,0.250284731,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000157077","No"
"PPP1R26","protein phosphatase 1, regulatory subunit 26 [Source:HGNC Symbol;Acc:29089]",-0.00553165,0.945397146,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000196422","No"
"L3MBTL3","l(3)mbt-like 3 (Drosophila) [Source:HGNC Symbol;Acc:23035]",0.010383095,0.915263435,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000198945","No"
"MYO1C","myosin IC [Source:HGNC Symbol;Acc:7597]",0.009829642,0.953590419,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000197879","No"
"RPPH1","ribonuclease P RNA component H1 [Source:HGNC Symbol;Acc:19273]",-0.046625791,0.869346563,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000259001","No"
"MFN2","mitofusin 2 [Source:HGNC Symbol;Acc:16877]",-0.072459842,0.121365394,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000116688","No"
"KCNN1","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1 [Source:HGNC Symbol;Acc:6290]",-0.013517596,0.92887175,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000105642","No"
"RPL7P9","ribosomal protein L7 pseudogene 9 [Source:HGNC Symbol;Acc:37028]",-0.231163318,0.125734182,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000137970","No"
"GORAB","golgin, RAB6-interacting [Source:HGNC Symbol;Acc:25676]",0.083764442,0.480258997,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000120370","No"
"FZD10-AS1","FZD10 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:48632]",3.293602506,0.037253783,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000250208","No"
"BMF","Bcl2 modifying factor [Source:HGNC Symbol;Acc:24132]",-0.150797492,0.373794777,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000104081","No"
"ZFR","zinc finger RNA binding protein [Source:HGNC Symbol;Acc:17277]",-0.105897271,0.068075503,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000056097","No"
"CASC9","cancer susceptibility candidate 9 (non-protein coding) [Source:HGNC Symbol;Acc:48906]",-0.164755266,0.863253877,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000249395","No"
"FEZ2","fasciculation and elongation protein zeta 2 (zygin II) [Source:HGNC Symbol;Acc:3660]",-0.057845961,0.755374817,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000171055","No"
"PMM1","phosphomannomutase 1 [Source:HGNC Symbol;Acc:9114]",-0.06274526,0.405857771,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000100417","No"
"KCNN3","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 [Source:HGNC Symbol;Acc:6292]",-0.423124681,0.057612256,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000143603","No"
"RP11-262H14.5","",-0.982229677,0.009908477,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000229422","No"
